절도수법별(1),절도수법별(2),2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
절도수법별(1),절도수법별(2),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건)
계,소계,183757,113771,176809,106669,186957,113673,179517,111246,166409,104013,182270,113705
침입절도,빈집절도,8109,4670,7414,3877,6394,3411,4847,2746,3177,1570,3183,1799
침입절도,사무실절도,1711,1257,1291,976,1162,892,1014,773,829,657,623,466
침입절도,공장절도,393,289,393,324,347,260,317,271,269,199,315,265
침입절도,상점절도,7684,6565,7348,6132,6918,5964,5635,4933,4941,4288,4055,3660
침입절도,숙박업소절도,498,380,484,320,384,261,344,242,287,230,241,187
비침입절도,소매치기절도,821,317,576,231,534,217,324,134,272,133,278,142
비침입절도,날치기절도,168,127,174,120,107,85,85,61,67,46,40,36
비침입절도,치기절도-기타,5163,3798,4724,3582,4741,3621,4406,3482,4061,3343,4482,3632
비침입절도,들치기절도,18658,11579,18473,11066,18661,11116,15890,9554,12862,7768,12392,7548
비침입절도,속임수절도,1792,1431,1504,1217,1593,1293,1382,1121,1035,815,1005,798
