범죄별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
범죄별(1),계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
계,987987,84473,76691,74646,99062,100348,120283,137614,196792,98078,873794,73169,67698,65827,86238,90989,107370,123074,166208,93221,854298,67858,64131,66068,89296,97282,110991,122216,145867,90589,802639,61428,57951,58361,83199,94852,108553,118578,132955,86762,715361,41200,35710,47449,75532,88738,100589,113021,139304,73818
절도,184355,13751,14385,12502,21531,24623,26890,26654,22167,21852,177458,12596,13731,12483,20672,24578,26672,25697,19984,21045,187629,13095,14176,13104,21763,27242,28582,27272,20587,21808,180067,11789,13672,12392,21358,26743,28648,25809,19263,20393,166782,9367,10612,12025,21467,26196,27547,24175,17914,17479
살인,858,67,69,75,94,88,100,126,141,98,849,65,57,63,91,78,77,133,140,145,847,49,73,49,86,97,96,110,132,155,805,56,58,63,78,78,88,102,114,168,692,39,50,41,74,57,78,108,100,145
강도,990,132,162,58,72,77,90,100,136,163,841,112,135,49,76,68,67,90,98,146,845,112,133,45,66,75,72,86,112,144,692,80,96,35,64,67,73,65,90,122,511,39,54,28,54,51,55,59,92,79
방화,1358,157,140,82,113,156,149,197,248,116,1478,165,154,106,120,140,188,213,250,142,1345,142,151,102,120,107,168,187,227,141,1210,131,131,65,101,120,125,179,223,135,1025,113,91,74,82,90,103,132,231,109
성폭력,32824,3200,3296,2615,2559,2651,3442,4335,5303,5423,32104,3054,3250,2246,2394,2615,3327,4034,5086,6098,32029,3061,3332,2233,2317,2539,3204,3920,5048,6375,30105,2820,2808,1726,2207,2479,3054,3704,4992,6315,32898,2435,2117,1554,2429,2917,3543,4297,5895,7711
폭행,165498,22343,18552,9738,11575,11798,14291,21375,38210,17616,164500,20672,17595,9728,12137,12310,14971,21459,36140,19488,161915,19898,17036,9618,11964,12867,15132,21178,34873,19349,143600,16548,14030,8244,10865,11842,14248,20033,30765,17025,119515,9083,6338,5773,10044,11220,13144,19722,30865,13326
상해,49376,6052,5170,2995,3895,3781,4606,6178,10129,6570,43666,5126,4258,2669,3503,3548,4084,5487,8578,6413,40306,4644,3910,2462,3220,3247,3933,4942,7967,5981,36022,3942,3361,2216,2980,2971,3533,4576,7027,5416,30862,2637,1859,1604,2544,2670,3265,4577,7190,4516
협박,16007,1011,777,1108,1857,1777,1982,2424,2590,2481,17777,1080,861,1117,1985,1829,2137,2781,2890,3097,21648,1331,1050,1348,2388,2328,2743,3352,3477,3631,21814,1247,1030,1357,2326,2403,2841,3374,3376,3860,21502,1034,777,1180,2317,2471,2807,3407,3716,3793
