강도수법별,,2017,2017,2018,2018,2019,2019,2020,2022,2021,2021,2022,2022
,,발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건)
계,소계,967,977,821,821,798,801,663,658,495,487,516,507
침입강도,소계,417,431,354,354,301,302,244,247,230,227,199,198
침입강도,일반강도,144,149,124,126,98,97,112,111,85,85,84,85
침입강도,감금강도,12,12,11,11,24,24,3,3,11,11,9,9
침입강도,인질강도,4,4,6,7,3,2,4,4,1,1,2,2
침입강도,기타,257,266,213,210,176,179,125,129,133,130,104,102
비침입강도,소계,544,539,464,464,494,495,415,407,260,255,313,305
비침입강도,차내강도 운전자 상대 강도,44,45,32,32,36,37,24,23,7,7,30,28
비침입강도,노상강도,105,105,98,97,71,77,53,52,42,40,38,37
비침입강도,차량이용강도,8,8,6,7,4,4,5,5,5,5,15,14
비침입강도,마취강도,23,24,27,31,29,28,12,12,14,14,7,9
비침입강도,약취 유인 강도,49,50,40,39,98,97,58,59,31,31,31,32
비침입강도,기타,315,307,261,258,256,252,263,256,161,158,192,185
해상강도,소계,-,-,-,-,-,-,-,-,1,1,-,-
강도강간,소계,6,7,3,3,3,4,3,3,4,4,3,3
미상,소계,-,-,-,-,-,-,1,1,-,-,1,1
