"절도수법별(1)",절도수법별(2),2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
"절도수법별(1)",절도수법별(2),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건),발생건수 (건),검거건수 (건)
"계",소계,183757,113771,176809,106669,186957,113673,179517,111246,166409,104013,182270,113705
"침입절도",소계,35681,25330,32710,21943,30853,21407,25675,18349,21026,15022,19582,14839
"침입절도",빈집절도,8109,4670,7414,3877,6394,3411,4847,2746,3177,1570,3183,1799
"침입절도",사무실절도,1711,1257,1291,976,1162,892,1014,773,829,657,623,466
"침입절도",공장절도,393,289,393,324,347,260,317,271,269,199,315,265
"침입절도",상점절도,7684,6565,7348,6132,6918,5964,5635,4933,4941,4288,4055,3660
"침입절도",숙박업소절도,498,380,484,320,384,261,344,242,287,230,241,187
"침입절도",기타,17286,12169,15780,10314,15648,10619,13518,9384,11523,8078,11165,8462
"비침입절도",소계,121166,76198,119411,74025,130621,80119,128897,81137,123042,77937,140763,88292
"비침입절도",소매치기절도,821,317,576,231,534,217,324,134,272,133,278,142
"비침입절도",날치기절도,168,127,174,120,107,85,85,61,67,46,40,36
"비침입절도",치기절도-기타,5163,3798,4724,3582,4741,3621,4406,3482,4061,3343,4482,3632
"비침입절도",들치기절도,18658,11579,18473,11066,18661,11116,15890,9554,12862,7768,12392,7548
"비침입절도",속임수절도,1792,1431,1504,1217,1593,1293,1382,1121,1035,815,1005,798
"비침입절도",기타,94564,58946,93960,57809,104985,63787,106810,66785,104745,65832,122566,76136
"기타",소계,26909,12242,24688,10701,25483,12147,24944,11759,22340,11054,21894,10573
"기타",차량절도,2733,2044,2707,1934,2652,1994,2771,2127,2404,1895,2435,1949
"기타",오토바이절도,5392,3057,4300,2344,4092,2398,3986,2404,3146,1908,3400,2237
"기타",자전거절도,12713,3461,11724,2868,12337,3839,13377,4455,12148,4358,12033,3989
"기타",축산물절도,414,187,297,113,325,136,277,129,246,102,175,76
"기타",기타,5657,3493,5660,3442,6077,3780,4533,2644,4396,2791,3851,2322
"미상",소계,1,1,-,-,-,-,1,1,1,-,31,1
