"행정구역별(읍면동)","연령별",2015,2016,2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"전국","14세",563648,492404,475669,466422,427933,435739,476023
"전국","15세",620683,563245,491112,475000,466023,429343,435591
"전국","16세",602895,619945,561698,490347,474134,467819,428825
"전국","17세",630048,603787,620343,562714,490777,476565,467414
"전국","18세",658358,633627,607488,625687,567632,496770,479117
"전국","19세",682095,663435,641499,619218,638775,579064,502352
"전국","20세",696475,689067,671671,653549,628950,646465,581562
"전국","21세",706877,700351,694248,679469,658817,634047,647713
"전국","22세",713328,712380,707385,704618,687736,667440,633711
"전국","23세",725920,719874,719175,718178,712868,696822,666271
"전국","24세",688508,731108,725211,728930,725285,720030,694397
"전국","25세",665696,693978,736945,734460,735154,730146,716581
"전국","26세",650819,670404,698153,744183,739933,738209,726778
"전국","27세",641575,653071,673106,703979,748772,741442,735105
"전국","28세",648544,642710,655332,677808,707556,749085,738497
"전국","29세",658654,648021,644221,659792,681090,707330,746166
"전국","30세",667647,658526,650106,648332,662457,679161,704354
"전국","31세",700338,667255,660085,653907,650178,660297,675917
"전국","32세",769340,699773,668356,663383,655448,648009,657406
"전국","33세",836571,768424,700537,671141,663266,652992,644865
"전국","34세",837714,835339,768689,702992,673330,660872,649730
"전국","35세",853910,836000,835094,770865,701935,670678,657905
"전국","36세",809932,852323,835257,837148,771572,699179,668088
"전국","37세",742854,808390,851779,836695,838657,768936,696625
"전국","38세",765769,741509,807679,853119,834261,835660,766395
"전국","39세",754397,764245,740872,809095,853319,831017,833334
"전국","40세",791254,752919,763409,741888,809471,850190,829062
"전국","41세",862438,789735,751762,764489,742111,806750,848217
"전국","42세",874499,861009,788903,752657,765187,739774,804965
"전국","43세",877059,873064,860326,789646,749787,762809,738074
"전국","44세",933577,875693,872648,861384,788847,747142,761392
"전국","45세",903226,932436,875529,873375,863228,786710,746101
"전국","46세",914326,901907,932096,876517,873150,861440,785743
"전국","47세",912443,913292,901715,933243,875984,871292,860062
"전국","48세",835649,911116,912997,902320,934116,873844,869891
"전국","49세",822513,834158,910620,913364,902748,932411,872426
"전국","50세",845562,820712,833618,910750,914395,900647,930514
"전국","51세",795201,843445,819726,833488,911915,912735,899019
"전국","52세",839819,793055,842454,819368,834016,910136,910746
"전국","53세",861991,837077,791128,841868,818720,831946,907800
"전국","54세",920874,859647,835625,790747,843322,816590,829554
"전국","55세",914823,917833,857020,835267,783884,840892,813882
"전국","56세",818278,911172,915745,855705,836108,781081,837827
"전국","57세",773439,814875,907960,913387,845643,833581,777888
"전국","58세",755581,769790,811723,906039,913761,842956,829575
"전국","59세",694728,751838,765784,809106,906306,912135,838744
"전국","60세",707354,692995,750829,764368,810912,904735,907607
"전국","61세",598937,704785,690062,747566,756359,808750,899568
"전국","62세",523552,596022,701449,685928,747594,753217,803675
"전국","63세",568557,520645,592099,696867,677686,744411,748006
"전국","64세",423057,564766,517260,587609,696857,674184,739002
"전국","65세",454854,419417,560946,513280,580957,693729,668977
"전국","66세",461303,450957,416217,556456,509730,577488,687752
"전국","67세",447745,456864,447023,412281,555364,506935,572102
"전국","68세",443254,442963,452448,442523,408047,551608,501919
"전국","69세",336867,438334,438561,447615,438134,404427,545857
"전국","70세",333707,332606,433601,433583,442822,433836,399844
"전국","71세",340306,328876,328297,428328,427721,438138,428548
"전국","72세",352415,335203,324192,323755,424201,422627,432422
"전국","73세",411282,346341,329988,319312,318908,418913,416571
"전국","74세",333031,403197,340088,324414,312949,314165,412259
"전국","75~79세",1362669,1425031,1543849,1585750,1595168,1600867,1584604
"전국","80~84세",814222,884261,943418,1005673,1075010,1120781,1178836
"전국","85~89세",372987,400337,434947,467681,511197,563930,617681
"전국","90~94세",124723,130627,141555,153410,173427,192663,208758
"전국","95~99세",24796,28007,32154,36839,38482,41512,43868
"전국","100세이상",3217,3547,3943,4249,4874,5624,6563
